ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
55625;"Robert Clyde ""Bobby"" Jones";M;200;2030;930;United States;USA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;Silver
55650;Dwight Elmo Jones;M;200;2030;930;United States;USA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;Silver
55686;K. C. Jones;M;240;1850;910;United States;USA;1956 Summer;1956;Summer;Melbourne;Basketball;Basketball Men's Basketball;Gold
55750;"Wallace Clayton ""Wally"" Jones";M;220;1930;1020;United States;USA;1948 Summer;1948;Summer;London;Basketball;Basketball Men's Basketball;Gold
55874;Hyland DeAndre Jordan, Jr.;M;280;2110;1200;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Basketball;Basketball Men's Basketball;Gold
55881;Michael Jeffrey Jordan;M;210;1980;900;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
55881;Michael Jeffrey Jordan;M;290;1980;900;United States;USA;1992 Summer;1992;Summer;Barcelona;Basketball;Basketball Men's Basketball;Gold
56077;Kevin Francis Joyce;M;210;1910;860;United States;USA;1972 Summer;1972;Summer;Munich;Basketball;Basketball Men's Basketball;Silver
58517;John Frederick Keller;M;230;1900;840;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
58535;Earl Allen Kelley;M;270;1830;740;United States;USA;1960 Summer;1960;Summer;Roma;Basketball;Basketball Men's Basketball;Gold
58537;Melvin Dean Kelley;M;200;1800;750;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
58738;"Robert Earl ""Bob"" Kenney";M;210;1880;840;United States;USA;1952 Summer;1952;Summer;Helsinki;Basketball;Basketball Men's Basketball;Gold
59569;Jason Frederick Kidd;M;270;1930;960;United States;USA;2000 Summer;2000;Summer;Sydney;Basketball;Basketball Men's Basketball;Gold
59569;Jason Frederick Kidd;M;350;1930;960;United States;USA;2008 Summer;2008;Summer;Beijing;Basketball;Basketball Men's Basketball;Gold
60486;"James H. ""Jim"" King";M;250;2010;910;United States;USA;1968 Summer;1968;Summer;Mexico City;Basketball;Basketball Men's Basketball;Gold
61147;"Joseph William ""Joe"" Kleine";M;220;2110;1220;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
61570;Carl Stanley Knowles;M;260;1880;750;United States;USA;1936 Summer;1936;Summer;Berlin;Basketball;Basketball Men's Basketball;Gold
62376;Jon Francis Koncak;M;210;2130;1130;United States;USA;1984 Summer;1984;Summer;Los Angeles;Basketball;Basketball Men's Basketball;Gold
65055;"Mitchell William ""Mitch"" Kupchak";M;220;2080;1040;United States;USA;1976 Summer;1976;Summer;Montreal;Basketball;Basketball Men's Basketball;Gold
